,id,location,x,y
0,0,East Village,-73.99037170000001,40.73469543
1,1,East Village,-73.98078156,40.729911799999996
2,2,Gowanus,-73.98455048,40.67956543
3,3,Lower East Side,-73.99346924,40.71899033
4,4,Upper West Side,-73.96062469,40.78133011
5,5,Midtown,-73.9801178,40.74304962
6,6,Nolita,-73.9940567,40.71998978
7,7,Midtown,-73.97942352,40.74461365
8,8,East Harlem,-73.94715118,40.79104614
9,9,SoHo,-73.99834442,40.72389603
10,10,Chelsea,-74.00614929,40.74491882
11,11,Midtown,-73.96932983,40.76353836
12,12,East Village,-73.9890213,40.72153854
13,13,West Village,-74.00430298,40.74224091
14,14,Lower East Side,-73.99199677,40.71857834
15,15,,-73.98516083,40.76895142
16,16,Upper West Side,-73.97309113,40.79536057
17,17,Upper West Side,-73.98210144,40.77469635
18,18,Little Italy,-73.99484253,40.71849823
19,19,Crown Heights,-73.95303345,40.67211533
20,20,East Village,-73.98916626,40.72658920000001
21,21,,-73.99906921,40.72017288
22,22,Chelsea,-73.99713898,40.74721909
23,23,,-73.99741364,40.73667526
24,24,,-73.99713135,40.73696136
25,25,Williamsburg,-73.96391296,40.71217346
26,26,Chelsea,-73.99939728,40.7439003
27,27,Central Park,-73.95440674,40.77806854
28,28,Hell's Kitchen,-73.99165344,40.75455856
29,29,Chelsea,-73.99559784,40.74423981
30,30,,-73.99027252,40.7720108
31,31,Long Island City,-73.94010925,40.75115204
32,32,Upper West Side,-73.98215485,40.77487946
33,33,West Village,-74.00806427,40.74206924
34,34,Greenwich Village,-74.00267792,40.730636600000004
35,35,Upper West Side,-73.98165894,40.77373886
36,36,East Village,-73.98174286,40.71915817
37,37,Upper West Side,-73.96305847,40.77501678
38,38,,0.0,0.0
39,39,Upper West Side,-73.96125793,40.7961998
40,40,Midtown,-73.98223877,40.75770187
41,41,Canarsie,-73.89412689,40.63657379
42,42,East Harlem,-73.94641876,40.78913879
43,43,Murray Hill,-73.97567749,40.74909973
44,44,Central Park,-73.94969177,40.78461838
45,45,Lower East Side,-73.98184967,40.7168808
46,46,Clinton Hill,-73.96588135,40.688564299999996
47,47,Hell's Kitchen,-73.99586487,40.76777267
48,48,Midtown,-73.97876740000001,40.74510574
49,49,East Village,-73.97650146,40.73356247
50,50,Upper West Side,-73.96937561,40.78523636
51,51,Chelsea,-73.99058533,40.74588013
52,52,Midtown,-73.97434235,40.75666046
53,53,Chelsea,-73.99234772,40.74343872
54,54,East Harlem,-73.93352509,40.80292892
55,55,Midtown,-73.9729538,40.75571823
56,56,Little Italy,-73.99694824,40.72050095
57,57,Chelsea,-73.99375916,40.75162125
58,58,Midtown,-73.97831726,40.76317978
59,59,Central Park,-73.96375275,40.77116013
60,60,Midtown,-73.97602081,40.74456024
61,61,East Village,-73.97679138,40.7336998
62,62,Midtown,-73.98428345,40.74805832
63,63,Central Park,-73.96987152,40.76850891
64,64,Midtown,-73.96617889,40.76222229
65,65,West Village,-74.00437927,40.74225235
66,66,Lower East Side,-73.99133301,40.72389221
67,67,,0.0,0.0
68,68,Upper West Side,-73.97415924,40.79573059
69,69,Greenwich Village,-73.99420166,40.72647095
70,70,East Village,-73.98963928,40.73439789
71,71,SoHo,-74.0014801,40.72743988
72,72,Kips Bay,-73.97915649,40.74050903
73,73,Roosevelt Island,-73.95392609,40.76694489
74,74,Upper West Side,-73.98213959,40.77168655
75,75,John F. Kennedy International Airport,-73.78082275,40.64518356
76,76,Little Italy,-73.99739838,40.7207489
77,77,Theater District,-73.98404694,40.75527954
78,78,Kips Bay,-73.98387146,40.74240875
79,79,Chelsea,-73.99575043,40.74409103
80,80,Midtown,-73.98508453,40.74716568
81,81,Upper West Side,-73.97100067,40.79764175
82,82,Hell's Kitchen,-73.98415375,40.76485825
83,83,John F. Kennedy International Airport,-73.78713989,40.6440506
84,84,Midtown,-73.9877243,40.75056839
85,85,Upper West Side,-73.9796524,40.77611923
86,86,John F. Kennedy International Airport,-73.78180695,40.64486313
87,87,Upper West Side,-73.96527863,40.80104065
88,88,Midtown,-73.97962952,40.74325562
89,89,Hell's Kitchen,-73.98442078,40.76723862
90,90,Financial District,-74.01099396,40.70887375
91,91,Midtown,-73.98074341,40.7469101
92,92,NoHo,-73.99197388,40.72647858
93,93,Hell's Kitchen,-74.00213623,40.76063919
94,94,Hell's Kitchen,-73.99497223,40.76023483
95,95,Greenwich Village,-74.00226593,40.73036957
96,96,Upper West Side,-73.98082733,40.7796402
97,97,West Village,-73.99807739,40.73796844
98,98,Greenwich Village,-73.99944305,40.72983551
99,99,Long Island City,-73.93270874,40.75286102
100,100,Upper West Side,-73.98168945,40.76839066
101,101,West Village,-74.00348663,40.74156952
102,102,Upper West Side,-73.97794342,40.78367615
103,103,Chelsea,-73.99256897,40.73961639
104,104,Murray Hill,-73.97776031,40.75228119
105,105,Greenwich Village,-73.99425507,40.73199463
106,106,Flatiron District,-73.98516083,40.74452972
107,107,Midtown,-73.98229218,40.75133133
108,108,Chelsea,-73.99230194,40.74929047
109,109,Long Island City,-73.93431854,40.75148392
110,110,John F. Kennedy International Airport,-73.78192139,40.64476013
111,111,Upper West Side,-73.95953369,40.78274536
112,112,Central Park,-73.95264435,40.77649689
113,113,Hell's Kitchen,-73.9956131,40.76467133
114,114,Midtown,-73.97743225,40.75831604
115,115,Bedford-Stuyvesant,-73.92774200000001,40.69787216
116,116,Midtown,-73.96659088,40.75758743
117,117,Roosevelt Island,-73.95474243,40.76550674
118,118,West Village,-73.99769592,40.73765945
119,119,Midtown,-73.96755219,40.75685883
120,120,Upper West Side,-73.96469879,40.79679871
121,121,Midtown,-73.97010803,40.75979996
122,122,West Village,-74.00189972,40.73940659
123,123,Harlem,-73.95522308,40.80437851
124,124,NoHo,-73.99662781,40.72460175
125,125,Tribeca,-74.00466919,40.71595764
126,126,Upper East Side,-73.94828033,40.78263092
127,127,West Village,-73.99861145,40.73817062
128,128,Midtown,-73.97226715,40.75986481
129,129,Morningside Heights,-73.95974731,40.80129242
130,130,Kips Bay,-73.97940063,40.73976898
131,131,Murray Hill,-73.97293091,40.75260162
132,132,Midtown,-73.97964478,40.76019669
133,133,Hell's Kitchen,-73.99504089,40.76044846
134,134,Midtown,-73.97683716,40.76459122
135,135,Greenwich Village,-74.00095367,40.73083878
