,Process,Accepted,Inclusion_Rate,Adaptation_Rate,Cost,Frequency,Purchased,Rides,Ending_Position,Starting_Position,Value
0,Application Communication Group,0,55,44,193.792,213,326.65,19,"[40.79078293, -73.9684906]","[40.72864151, -74.00275421]",25
1,Application Communication Group,1,3,88,96.896,119,884.05,18,"[40.74298859, -73.98935699]","[40.64476013, -73.78192139]",29
2,Application Communication Group,0,39,77,278.576,846,607.35,32.5,"[40.76633835, -73.96105194]","[40.77247620000001, -73.98202515]",41
3,Application Communication Group,0,27,27,205.904,201,157.85,4,"[40.73168182, -73.99027252]","[40.72389221, -73.99133301]",50
4,Application Communication Group,0,88,92,532.928,328,947.9,35.5,"[40.71620178, -74.01474762]","[0.0, 0.0]",31
5,Application Communication Group,1,40,77,278.576,186,780.6,23,"[40.75608063, -73.97059631]","[40.7168808, -73.98184967]",54
6,Application Communication Group,1,67,32,181.68,868,893,42.5,"[40.74729156, -73.99324036]","[40.75115204, -73.94010925]",49
7,Application Communication Group,0,94,15,411.808,142,383.75,14.5,"[40.74531937, -73.98887634]","[40.75136948, -73.98239899]",40
8,Application Communication Group,1,20,57,24.224,680,840.6,30.5,"[40.80160522, -73.94350433]","[40.75286102, -73.93270874]",33
9,Application Communication Group,1,97,43,36.336,55,153,16.5,"[40.78335953, -73.95494843]","[0.0, 0.0]",40
10,Application Communication Group,0,25,29,411.808,201,931.25,35.5,"[40.75764084, -73.96361542]","[40.7342186, -73.99903107]",46
11,Application Communication Group,1,87,0,411.808,725,238.05,21,"[40.73404312, -73.98986053]","[40.80292892, -73.93352509]",52
12,Application Communication Group,0,92,32,84.784,573,252.9,21.5,"[40.72902679, -73.9992218]","[40.75671387, -73.99394226]",43
13,Application Communication Group,1,22,19,36.336,126,608,38.5,"[40.80126572, -73.96988678]","[40.77938843, -73.98110962]",30
14,Application Communication Group,0,21,21,36.336,204,863.75,6,"[40.7521019, -73.97033691]","[40.73356247, -73.97650146]",29
15,Application Communication Group,0,73,27,60.56,739,179.55,14,"[40.74520874, -73.99134827]","[40.75093842, -73.99031067]",55
16,Application Communication Group,1,57,58,436.032,581,684.9,21,"[40.71603775, -74.01580811]","[40.75260162, -73.97293091]",48
17,Application Communication Group,1,19,41,351.248,233,735.6,43,"[40.67192841, -73.96269226]","[40.688564299999996, -73.96588135]",47
18,Application Communication Group,0,94,27,157.456,580,524.75,40,"[40.75299072, -73.97921753]","[40.7399559, -74.00505066]",28
19,Application Communication Group,1,54,48,532.928,510,418.35,10.5,"[40.758903499999995, -73.97261047]","[40.75932312, -73.99577332]",54
20,Application Communication Group,1,94,54,460.256,753,370.4,44,"[40.72024155, -74.01009369]","[40.78461838, -73.94969177]",52
21,Application Communication Group,1,80,65,302.8,219,976.3,8,"[40.71789551, -74.01550293]","[40.7653656, -73.95786285]",49
22,Application Communication Group,1,48,40,36.336,600,581.25,34,"[40.76871109, -73.98545837]","[40.73462677, -73.98641968]",56
23,Application Communication Group,0,18,46,72.672,840,842.75,27.5,"[40.69827652, -73.96121216]","[40.74224091, -74.00430298]",50
24,Application Communication Group,1,15,71,133.232,223,678.6,25.5,"[0.0, 0.0]","[40.73765945, -73.99769592]",52
